Date,Fioul,Charbon,Gaz,NuclÈaire,Solaire,Eolien,Hydraulique,Production,Consommation
2012-01-01,492.6875,15.791666666666666,3787.0416666666665,44861.375,130.3125,3926.2291666666665,7655.666666666667,60869.104166666664,51491.5
2012-01-02,491.625,7.875,4050.0833333333335,53273.145833333336,88.89583333333333,3069.8541666666665,8590.916666666666,69572.39583333334,60683.645833333336
2012-01-03,514.5833333333334,4.270833333333333,4028.6666666666665,58216.25,141.0,4761.854166666667,10094.979166666666,77761.60416666667,67762.10416666667
2012-01-04,546.0,0.14583333333333334,3713.2083333333335,57653.0625,180.3125,4237.333333333333,10212.354166666666,76542.41666666667,68029.22916666667
2012-01-05,537.6875,0.3333333333333333,4247.0625,56509.708333333336,66.8125,5199.25,10764.0625,77324.91666666667,69157.39583333333
2012-01-06,538.2083333333334,695.8333333333334,4137.020833333333,56908.3125,196.6875,2677.4166666666665,10917.145833333334,76070.625,69059.27083333333
2012-01-07,491.4375,65.08333333333333,3903.0833333333335,55515.375,116.125,3157.2916666666665,8191.958333333333,71440.35416666666,63160.5625
2012-01-08,491.8958333333333,15.875,3875.4583333333335,54603.9375,114.97916666666667,1634.7291666666667,7842.1875,68579.0625,59032.979166666664
2012-01-09,494.8541666666667,417.6666666666667,6537.479166666667,57897.5625,160.75,1241.7708333333333,9480.145833333334,76230.22916666666,67236.97916666667
2012-01-10,493.3125,716.9583333333334,6707.0625,58250.8125,200.5,563.2291666666666,9328.5625,76260.4375,68558.04166666667
2012-01-11,489.4583333333333,1002.25,6405.6875,58447.0,206.04166666666666,594.9166666666666,9304.666666666666,76450.02083333334,69084.58333333333
2012-01-12,491.5416666666667,735.9791666666666,6247.083333333333,58789.395833333336,189.9375,1046.1041666666667,10314.041666666666,77814.08333333334,71466.04166666667
2012-01-13,497.5,1344.9375,6562.645833333333,58559.229166666664,153.625,863.25,9205.416666666666,77186.60416666667,71118.33333333333
2012-01-14,492.2291666666667,1136.4791666666667,5111.625,58305.208333333336,224.9375,1292.0,8028.166666666667,74590.64583333334,67795.375
2012-01-15,494.2291666666667,1263.3541666666667,4282.0625,59359.125,236.97916666666666,1856.1666666666667,7183.041666666667,74674.95833333334,68019.58333333333
2012-01-16,949.9583333333334,2517.1041666666665,6501.208333333333,60333.166666666664,224.0,1771.7083333333333,8779.666666666666,81076.8125,76417.66666666667
2012-01-17,973.3541666666666,3300.5833333333335,7415.604166666667,60471.145833333336,220.02083333333334,549.6875,9893.145833333334,82823.54166666666,78678.4375
2012-01-18,673.875,3156.8958333333335,7230.916666666667,60256.25,188.70833333333334,1748.75,9544.3125,82799.70833333333,78560.6875
2012-01-19,716.1875,2103.7708333333335,6560.729166666667,58290.708333333336,111.8125,4162.395833333333,8008.9375,79954.54166666667,73027.20833333333
2012-01-20,492.8125,1670.1875,5587.5,58062.020833333336,152.83333333333334,4339.8125,8366.666666666666,78671.83333333334,69717.0
2012-01-21,489.6666666666667,112.625,3845.9791666666665,57632.479166666664,125.27083333333333,4635.9375,7258.291666666667,74100.25000000001,61644.229166666664
2012-01-22,490.625,0.0,3849.1666666666665,54134.625,146.83333333333334,3373.5833333333335,6596.833333333333,68591.66666666667,57609.104166666664
2012-01-23,993.1041666666666,527.625,5796.5,58759.895833333336,148.70833333333334,1383.0,8428.854166666666,76037.6875,66326.95833333333
2012-01-24,1112.0,1585.375,6444.3125,58688.729166666664,182.89583333333334,1426.5,9370.854166666666,78810.66666666666,68944.16666666667
2012-01-25,1045.25,1126.4791666666667,6691.479166666667,58337.041666666664,156.75,766.8541666666666,9960.020833333334,78083.875,68222.47916666667
2012-01-26,624.8958333333334,660.7708333333334,5577.895833333333,58250.333333333336,118.27083333333333,1328.4375,10380.916666666666,76941.52083333334,68444.95833333333
2012-01-27,512.1666666666666,628.9583333333334,6406.6875,58457.375,172.5,685.0416666666666,9806.979166666666,76669.70833333334,69180.39583333333
2012-01-28,488.8333333333333,637.4791666666666,5534.166666666667,57019.083333333336,159.10416666666666,914.3958333333334,8176.541666666667,72929.60416666667,65197.354166666664
2012-01-29,491.0416666666667,1124.8125,4357.833333333333,57827.708333333336,127.125,1339.0208333333333,7211.25,72478.79166666667,65640.91666666667
2012-01-30,502.3333333333333,1924.4583333333333,6946.958333333333,59298.791666666664,150.91666666666666,569.6875,9928.291666666666,79321.4375,77080.52083333333
2012-01-31,495.4583333333333,3536.9166666666665,7469.541666666667,59385.916666666664,61.4375,937.5208333333334,9767.979166666666,81654.77083333333,79758.04166666667
2012-02-01,943.2916666666666,3973.0416666666665,7690.395833333333,59256.6875,159.6875,2983.6666666666665,9832.479166666666,84839.25000000001,83579.91666666667
2012-02-02,1773.5,4309.583333333333,7913.666666666667,59529.854166666664,187.04166666666666,3879.25,10059.1875,87652.08333333333,87524.02083333333
2012-02-03,2736.1458333333335,3770.75,7780.208333333333,59550.125,288.6666666666667,2286.3125,10155.854166666666,86568.06250000001,89247.91666666667
2012-02-04,2213.7916666666665,4148.791666666667,6553.4375,59429.520833333336,276.9791666666667,1434.625,9727.8125,83784.95833333334,85132.4375
2012-02-05,2043.4166666666667,4297.583333333333,6286.833333333333,58747.416666666664,134.02083333333334,1618.6458333333333,8363.895833333334,81491.81249999999,83021.79166666667
2012-02-06,2920.125,4628.354166666667,6916.666666666667,59339.416666666664,211.16666666666666,920.375,8684.979166666666,83621.08333333334,88151.89583333333
2012-02-07,3256.875,4559.791666666667,7358.75,59212.520833333336,296.5625,2456.5416666666665,9368.4375,86509.47916666667,91176.27083333333
2012-02-08,3878.875,4880.291666666667,7466.270833333333,59347.9375,222.54166666666666,2403.6875,10028.125,88227.72916666667,94096.6875
2012-02-09,3841.8125,4849.395833333333,7766.354166666667,58890.479166666664,285.125,1340.9375,9383.208333333334,86357.31249999999,92868.14583333333
2012-02-10,2954.4375,5128.770833333333,8101.458333333333,57229.4375,307.4791666666667,2045.125,9325.1875,85091.89583333334,90262.64583333333
2012-02-11,2014.8541666666667,5090.875,7639.666666666667,57620.104166666664,337.5208333333333,2319.5833333333335,8616.9375,83639.54166666666,87951.1875
2012-02-12,1890.7708333333333,4983.395833333333,7554.916666666667,57748.020833333336,344.3125,1454.9166666666667,7429.666666666667,81406.00000000001,85201.91666666667
2012-02-13,1994.0833333333333,4980.4375,7511.729166666667,57486.958333333336,195.125,1279.5625,9216.458333333334,82664.35416666667,86770.6875
2012-02-14,1023.0,4140.916666666667,7704.8125,57548.770833333336,190.02083333333334,2064.3541666666665,7540.958333333333,80212.83333333333,82480.375
2012-02-15,1179.2291666666667,3909.5,7727.979166666667,55271.979166666664,187.22916666666666,3223.0416666666665,7460.291666666667,78959.25000000001,79161.9375
2012-02-16,518.6875,3166.6041666666665,7620.145833333333,54611.833333333336,234.0,1531.2083333333333,6745.9375,74428.41666666667,75592.16666666667
2012-02-17,517.5,3003.2291666666665,7271.479166666667,55054.208333333336,235.89583333333334,962.625,6535.020833333333,73579.95833333333,73674.5
2012-02-18,517.8125,2383.4583333333335,7134.770833333333,51798.020833333336,324.8541666666667,1822.8125,5019.0,69000.72916666666,65881.39583333333
2012-02-19,516.6041666666666,1943.9166666666667,6133.916666666667,51713.645833333336,303.5,1866.4583333333333,4634.895833333333,67112.9375,63513.666666666664
2012-02-20,709.875,2904.7083333333335,7324.5,51922.333333333336,412.2291666666667,1012.0833333333334,6642.979166666667,70928.70833333334,73164.89583333333
2012-02-21,724.375,4212.270833333333,7849.479166666667,52470.645833333336,418.4166666666667,623.0416666666666,7347.458333333333,73645.6875,75257.70833333333
2012-02-22,736.6041666666666,4255.104166666667,7846.770833333333,52222.083333333336,446.6875,1305.9166666666667,6965.958333333333,73779.125,74044.33333333333
2012-02-23,757.0833333333334,2558.25,7276.479166666667,52108.333333333336,284.8333333333333,1795.0208333333333,7460.104166666667,72240.10416666667,71536.20833333333
2012-02-24,797.3541666666666,2329.875,7459.166666666667,51917.0,257.2708333333333,870.7291666666666,5528.583333333333,69159.97916666667,66859.72916666667
2012-02-25,503.0833333333333,1999.6458333333333,5862.125,51835.833333333336,249.16666666666666,601.7708333333334,4476.395833333333,65528.020833333336,59540.0625
2012-02-26,506.3541666666667,1256.7916666666667,4238.291666666667,50729.125,379.2708333333333,1083.5833333333333,3967.3125,62160.72916666667,56208.520833333336
2012-02-27,662.0833333333334,2533.5208333333335,6317.270833333333,52590.9375,394.9375,666.1875,5220.479166666667,68385.41666666667,65821.25
2012-02-28,503.5833333333333,3068.2916666666665,6867.020833333333,52724.916666666664,409.375,433.5625,5691.083333333333,69697.83333333333,66179.41666666667
2012-02-29,505.2708333333333,3230.125,6467.0625,52623.895833333336,456.3125,426.0416666666667,5343.125,69051.83333333334,63683.104166666664
2012-03-01,482.9166666666667,3021.7708333333335,5575.041666666667,52544.166666666664,392.6666666666667,302.1458333333333,5603.145833333333,67921.85416666666,62745.416666666664
2012-03-02,485.375,2944.75,5196.083333333333,52372.854166666664,358.6666666666667,360.25,5812.104166666667,67530.08333333333,61615.854166666664
2012-03-03,490.0416666666667,655.1666666666666,3676.9791666666665,51253.041666666664,263.3958333333333,965.125,5264.041666666667,62567.791666666664,56129.645833333336
2012-03-04,497.75,502.5416666666667,3652.7708333333335,50253.333333333336,233.79166666666666,2033.875,4536.6875,61710.75,54495.708333333336
2012-03-05,903.875,2565.9791666666665,5842.9375,51606.166666666664,393.125,4197.354166666667,5267.75,70777.1875,66384.9375
2012-03-06,890.0,3650.75,6406.770833333333,52605.645833333336,305.8333333333333,1314.4583333333333,6490.791666666667,71664.25000000001,68978.5625
2012-03-07,911.1666666666666,3847.3958333333335,6493.0,53126.625,366.7708333333333,2489.1875,6067.458333333333,73301.60416666667,69810.54166666667
2012-03-08,626.4375,3719.5833333333335,6059.0625,53114.833333333336,381.9583333333333,1866.6666666666667,5714.270833333333,71482.8125,67611.5625
2012-03-09,493.4375,3815.9375,6424.083333333333,52874.770833333336,488.5833333333333,765.1041666666666,5515.9375,70377.85416666667,66864.75
2012-03-10,486.1041666666667,2361.0208333333335,3764.9375,51867.333333333336,442.1875,865.7291666666666,4574.729166666667,64362.041666666664,59017.625
2012-03-11,488.8333333333333,910.5625,3602.9375,50068.0625,376.1666666666667,1362.1666666666667,3829.875,60638.604166666664,54402.5625
2012-03-12,492.0208333333333,2048.2291666666665,4773.0,52359.958333333336,517.4791666666666,1348.0833333333333,4686.395833333333,66225.16666666667,60345.979166666664
2012-03-13,501.6666666666667,2544.9791666666665,4529.104166666667,52885.1875,521.2291666666666,1347.8958333333333,4954.833333333333,67284.89583333333,60135.8125
2012-03-14,489.9583333333333,2864.5833333333335,4748.604166666667,52778.020833333336,535.0833333333334,819.6041666666666,4912.791666666667,67148.64583333334,59047.5625
2012-03-15,507.25,2677.75,4144.020833333333,52841.104166666664,522.7083333333334,581.625,4908.9375,66183.39583333334,58281.770833333336
